Title,URL,Abstract,Conclusion
Mice in Bion-M 1 space mission: training and selection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,"Abstract After a 16-year hiatus, Russia has resumed its program of biomedical research in space, with the successful 30-day flight of the Bion-M 1 biosatellite (April 19–May 19, 2013). The aim of mice experiments in the Bion-M 1 project was to elucidate cellular and molecular mechanisms, underlying the adaptation of key physiological systems to long-term exposure in microgravity. The studies with mice combined in vivo measurements, both in flight and post-flight (including continuous blood pressure measurement), with extensive in vitro studies carried out shortly after return of the mice and in the end of recovery study. Male C57/BL6 mice group housed in space habitats were flown aboard the Bion-M 1 biosatellite, or remained on ground in the control experiment that replicated environmental and housing conditions in the spacecraft.","For instance, the “air righting” test used to evaluate vestibular function involved holding and rotating individual mice cupped in the palms of the experimenter's hands prior to releasing the mouse into a safe fall. Pre-flight training of mice designated for in vivo studies Preliminary training and tests were performed with 42 mice for both the flight (SF) experiment and the corresponding vivarium control (SFV), and with 30 mice for the ground control (GC and GCV groups) experiment ( Table 3 ); 26 (62%) and 16 (53%) mice correspondingly fulfilled the inclusion criteria. The probabilities of mice displaying a good BP signal, running vigorously in the wheel, performing well in discriminative learning, and maintaining amicable interactions with cagemates should be treated as independent and therefore should be multiplied to get the joint probability."
"Microgravity induces pelvic bone loss through osteoclastic activity, osteocytic osteolysis, and osteoblastic cell cycle inhibition by CDKN1a/p21",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,"Microgravity and unloading are known to cause osteoclast-mediated bone resorption; however, we hypothesize that osteocytic osteolysis, and cell cycle arrest during osteogenesis may also contribute to bone loss in space. High-resolution X-ray nanoCT studies revealed signs of lacunar osteolysis, including increases in cross-sectional area (+17%, p = 0.022), perimeter (+14%, p = 0.008), and canalicular diameter (+6%, p = 0.037). Furthermore, expression of CDKN1a/p21 in bone increased 3.31 fold (p<0.01), and was localized to osteoblasts, possibly inhibiting the cell cycle during tissue regeneration as well as conferring apoptosis resistance to these cells. In conclusion, our findings identify the pelvic and femoral region of the mouse skeleton as an active site of rapid bone loss in microgravity, and indicate that this loss is not limited to osteoclastic degradation.","In this study, we investigated cellular and molecular gene expression mechanisms underlying bone degeneration in space, with an emphasis on the processes related to osteoblastic and osteocytic activities in the pelvic girdle and proximal femur of 16-week-old C57BL/6J female mice. Among the muscles attaching to the ischium, the quadratus femoris plays an important “antigravity” role in maintaining a neutral hind-limb posture and can atrophy in microgravity , possibly explaining the high levels of bone loss we observed in the pelvis. We found increases in mRNA levels for several collagen molecules and laminin subunits, suggesting increased matrix remodeling, and significant up-regulation of mRNA for matrix metalloproteinases 1, 3, and 10 in flight samples compared to ground controls, while MMP inhibitors showed no statistically significant alterations in expression ( Fig."
Stem Cell Health and Tissue Regeneration in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,"Microgravity significantly impacts the immune system by disrupting key mechanisms, such as T cell activation, cytokine production, and macrophage differentiation, leading to increased susceptibility to infections. Additionally, microgravity enhances tissue regeneration by modulating critical pathways, including Hippo and PI3K-Akt, thereby improving stem cell differentiation into hematopoietic and cardiomyocyte lineages. At the organ level, microgravity induces notable changes in hepatic metabolism, endothelial function, and bone mechanotransduction, contributing to lipid dysregulation, vascular remodeling, and accelerated bone loss. Notably, cardiomyocytes derived from human pluripotent stem cells and cultured under microgravity exhibit enhanced mitochondrial biogenesis, improved calcium handling, and advanced structural maturation, including increased sarcomere length and nuclear eccentricity.","This unique environment disrupts key mechanisms such as mitochondrial biogenesis, liver metabolism, intestinal homeostasis, and stem cell differentiation, with profound implications for human health, particularly during prolonged space travel ( Table 1 ). Additionally, changes observed in endothelial cell behavior and multi-organ homeostasis highlight microgravity’s potential to revolutionize regenerative medicine and deepen our understanding of human physiology in extreme environments. Microgravity also holds significant promise for personalized medicine by facilitating progress in regenerative therapies, immune-based treatments, and approaches to managing chronic diseases."
Microgravity Reduces the Differentiation and Regenerative Potential of Embryonic Stem Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,"Abstract Therapeutic effects of adult stem-cell transplantations are limited by poor cell-retention in target organs, and a reduced potential for optimal cell differentiation compared to embryonic stem cells. However, contemporary studies have indicated heterogeneity within adult stem-cell pools, and a novel culturing technique may address these limitations by selecting those for cell proliferation which are highly functional. These cultured hASCs expressed higher levels of pluripotent markers (OCT4, SOX2, NANOG, MYC, and KLF), and had improved abilities for proliferation, colony formation, network formation, and multiple-mesenchymal differentiation. We believe that this novel culturing method may further enhance regenerative therapies using hASCs. Keywords: adipose-derived stem cell, microgravity culture, polystyrene microsphere, collagen microsphere, multilineage-differentiating stress-enduring cell","However, although routine two-dimensional cultures allow hASCs to expand easily, these conditions adversely affect the proliferation of cells with higher multipotent properties, reducing the usual proportion of SSEA-3(+) hASCs to only approximately 1% [ 19 ]. Seven days of polystyrene and collagen microsphere cultures under static conditions produced an increased number of SSEA-3(+) hASCs compared to polystyrene dish cultures, and those under dynamic conditions exhibited a much higher number of SSEA-3(+) hASCs. These results clearly revealed a positive influence of microspheres on the selective proliferation of SSEA-3(+) cells, especially in those experiments combined with a microgravity environment. In addition, as a biodegradable biomaterial, collagen has the advantage that such beads may be clinically administered into a target organ together with hASCs; it may even augment hASC survival and functionality after transplantation by acting as a biological cell scaffold [ 1 , 42 ]."
Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,"A key aspect of achieving these goals is to operate the ISS National Lab more like an Earth-based laboratory, conducting complex end-to-end experimentation, not limited to simple microgravity exposure. Towards that end NASA developed a novel suite of molecular biology laboratory tools, reagents, and methods, named WetLab-2, uniquely designed to operate in microgravity, and to process biological samples for real-time gene expression analysis on-orbit. Specifically, quantitative PCR was performed on a concentration series of DNA calibration standards, and Reverse Transcriptase-quantitative PCR was conducted on RNA extracted and purified on-orbit from frozen Escherichia coli and mouse liver tissue. The WetLab-2 facility now provides a novel operational on-orbit research capability for molecular biology and demonstrates the feasibility of more complex wet bench experiments in the ISS National Lab environment.","Overall, the on-orbit process of total RNA isolation and gene expression analysis is accomplished in a span of approximately 3 h without the requirement for a highly experienced user and provides a new capability to ISS that will greatly expand the limits of possible on-orbit science. Specifically, because PCR consists of repeated cycles of rapid heating and cooling, lack of gravity-induced convection mixing in microgravity may limit heat transfer throughout the sample to only conduction which may require longer denaturation and annealing/extension times. Through these experiments, we have demonstrated that qPCR can be successfully performed in the microgravity environment of space and developed an system of molecular biology tools and reagents for extracting and quantitatively analyzing RNA from biological samples on-orbit and generating RT-qPCR Ct data (See photos of actual on-orbit operations in Fig 5 )."
Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,"Abstract Spaceflight causes cardiovascular changes due to microgravity-induced redistribution of body fluids and musculoskeletal unloading. Cardiac deconditioning and atrophy on Earth are associated with altered Trp53 and oxidative stress-related pathways, but the effects of spaceflight on cardiac changes at the molecular level are less understood. We tested the hypothesis that spaceflight alters the expression of key genes related to stress response pathways, which may contribute to cardiovascular deconditioning during extended spaceflight. Spaceflight altered the expression of genes regulating redox balance, cell cycle and senescence in cardiac tissue of mice.","Factors related to experimental protocol also important to consider when interpreting gene expression findings from this experiment include the fixed duration of the mission (15 days), sample recovery only after animals were returned to Earth (3+ hours after landing), and the fact that ground control animals were housed in flight-matched habitats but were not exposed to similar forces as the flight mice encountered during launch and landing. As the scope of our investigation focused on RT-PCR, additional studies are needed to elucidate how spaceflight-induced oxidative stress may mediate cell cycle/growth and function, to gain deeper insight into how the cardiovascular system responds to the space environment and recovers after return to Earth. Furthermore, because the heart consists of multiple cell types, including cardiomyocytes, fibroblasts, endothelial cells, and macrophages, each with a discrete gene expression profile [ 53 ], future experiments could focus on spatial transcriptomics to determine the cellular source of specific gene expression changes, as well as the regulation of protein expression together with cardiac function."
Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,"16-weeks old, male, C57BL6/J mice were exposed to low linear-energy-transfer (LET) protons (150 MeV/n) or high-LET 56 Fe ions (600 MeV/n) using either low (5 or 10 cGy) or high (50 or 200 cGy) doses at NASA’s Space Radiation Lab. The addition of exogenous superoxide dismutase (SOD) protected marrow-derived osteoprogenitors from the damaging effects of exposure to low-LET ( 137 Cs γ) when irradiated in vitro, but had limited protective effects on high-LET 56 Fe-exposed cells. In sum, either protons or 56 Fe at a relatively high dose (200 cGy) caused persistent bone loss, whereas only high-LET 56 Fe increased redox-related gene expression, albeit to a limited extent, and inhibited osteoblastogenesis. We conclude that high-LET irradiation at 200 cGy impaired osteoblastogenesis and regulated steady-state gene expression of select redox-related genes during osteoblastogenesis, which may contribute to persistent bone loss.","In this study, the structural decrement affected by 56 Fe (200 cGy) was resolved one year after exposure due to the expected age-related decline in sham-control animals changes over time ( Table 1 ), likely the product of age-induced elevations of osteoclasts overtaking waning bone formation by osteoblasts [ 45 ]. Furthermore, exogenous SOD effectively protected osteoprogenitors from low-LET radiation damage, but only minimally from 56 Fe at 100 cGy, and not at all from 56 Fe at 200 cGy. Taken together, these findings indicate excess extracellular reactive oxygen species (ROS) inhibited growth, and that oxidative stress is possibly the main mechanism involved in low-LET radiodamage to osteoprogenitors; in contrast, high-LET species likely affect the cells via additional detrimental mechanisms, such as double-strand DNA breaks. In sum, we showed the ability of the antioxidant superoxide dismutase (SOD) to mitigate the adverse effects of in vitro irradiation with γ rays (used for the low-LET radiation), but not to an equivalent dose of high-LET 56 Fe. Our results strengthen the potential application of SOD as a countermeasure for low-LET irradiation-induced damage to marrow stem cells and osteoprogenitors."
From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/,"Abstract NASA’s Space Biology and Human Research Program entities have recently spearheaded communications both internally and externally to coordinate the agency’s translational research efforts. In this paper, we strongly advocate for translational research at NASA, provide recent examples of NASA sponsored early-stage translational research, and discuss options for a path forward. Our overall objective is to help in stimulating a collaborative research across multiple disciplines and entities that, working together, will more effectively and more rapidly achieve NASA’s goals for human spaceflight.","[Conclusion Not Found; Full Article Summary]: doi: 10.1038/s41526-016-0002-8 From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions Joshua S Alwood Joshua S Alwood 1 Space BioSciences Division, NASA Ames Research Center, Moffett Field, CA USA Find articles by Joshua S Alwood 1, ✉ , April E Ronca April E Ronca 1 Space BioSciences Division, NASA Ames Research Center, Moffett Field, CA USA 2 Wake Forest School of Medicine, Winston-Salem, NC USA Find articles by April E Ronca 1, 2 , Richard C Mains Richard C Mains 3 Mains Associates, Berkeley, CA USA Find articles by Richard C Mains 3 , Mark J Shelhamer Mark J Shelhamer 4 Human Research Program, NASA Johnson Space Center, Houston, TX USA Find articles by Mark J Shelhamer 4 , Jeffrey D Smith Jeffrey D Smith 1 Space BioSciences Division, NASA Ames Research Center, Moffett Field, CA USA Find articles by Jeffrey D Smith 1 , Thomas J Goodwin Thomas J Goodwin 5 Biomedical Research and Environmental Sciences Division, NASA Johnson Space Center, Houston, TX USA Find articles by Thomas J Goodwin 5 Author information Article notes Copyright and License information 1 Space BioSciences Division, NASA Ames Research Center, Moffett Field, CA USA 2 Wake Forest School of Medicine, Winston-Salem, NC USA 3 Mains Associates, Berkeley, CA USA 4 Human Research Program, NASA Johnson Space Center, Houston, TX USA 5 Biomedical Research and Environmental Sciences Division, NASA Johnson Space Center, Houston, TX USA ✉ Corresponding author. We define the levels of the research continuum as follows, consistent with the Decadal Survey’s Interim Report: 5 basic research aims to generate new biological knowledge using biological systems or model organisms, applied research aims to develop countermeasures for risks to astronaut health (similar to pre-clinical research), and medical operations puts countermeasures into practice for astronauts (like operations in the clinic). Animal and human biology (AH) research recommendations for humans in the space environment identified in chapter 6 of the decadal survey (3) Open in a new tab Reprinted with permission from Recapturing a Future for Space Exploration: Life and Physical Sciences Research for a New Era (2011) by the National Academy of Sciences, Courtesy of the National Academies Press, Washington D.C. Table 2. Crosscutting Issues (CC) for Humans in the Space Environment identified in Chapter 7 of the Decadal Survey (3) Open in a new tab Reprinted with permission from Recapturing a Future for Space Exploration: Life and Physical Sciences Research for a New Era (2011) by the National Academy of Sciences, Courtesy of the National Academies Press, Washington DC NASA’s current translational research approach Several recent NASA-sponsored activities demonstrate an increased Agency commitment to two phases of translation (Fig. 14 Further, several recent events have been held to systematically advance NASA’s translational research discussions within the basic and applied space life sciences communities, including: an Artificial Gravity Workshop (responsive to the recommendations AH9-10 in Table 1 and CC2 in Table 2 ); 15 symposia at the American Society for Gravitational Space Research (ASGSR) annual meetings in 2014 16 and 2015; 17 and the annual HRP Investigators Workshops in 2015 and 2016."
High-precision method for cyclic loading of small-animal vertebrae to assess bone quality.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,"In small animals, such as in rats and mice, cyclic loading experiments are particularly challenging to perform in a precise manner due to the small size of the bones and difficult-to-eliminate machine compliance. The method has three key characteristics: 3D-printed support jigs for machining plano-parallel surfaces of the tiny vertebrae; pivotable loading platens to ensure uniform contact and loading of specimen surfaces; and specimen-specific micro-CT-based finite element analysis to measure stiffness to prescribe force levels that produce the same specified level of strain for all test specimens. To demonstrate utility, we measured fatigue life for three groups ( n = 5–6 per group) of L5 vertebrae of C57BL/6J male mice, comparing our new method against two methods commonly used in the literature. The improved precision for this new method for biomechanical testing of small-animal vertebrae may help elucidate aspects of bone quality.","While the absolute value of strain to failure will be influenced by any machine compliance, the general level of agreement and small degree of scatter suggests that bone tissue does indeed fail at a narrow range of strain under cyclic loading, and that our protocol was successful in reducing the variation in strain across different specimens. Furthermore, unlike in the Brouwers literature protocol, we had no loss of specimens, enabled by repeatable specimen preparation (e.g. 3D-printed support jigs for machining plano-parallel surfaces) and uniform loading of specimen surfaces (e.g. spherically-seated platen), which further improves statistical power, and can be implemented for monotonic testing or fatigue testing of small-animal vertebrae. However, the extra effort improves the ability to detect small differences across treatment groups without using a large number of animals, which is advantageous both ethically and also logistically when sample sizes are inherently limited (e.g. space flight experiments)."
Effects of ex vivo ionizing radiation on collagen structure and whole-bone mechanical properties of mouse vertebrae.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,"Abstract Bone can become brittle when exposed to ionizing radiation across a wide range of clinically relevant doses that span from radiotherapy (accumulative 50 Gy) to sterilization (~35,000 Gy). To better understand the effects of radiation on the bone material without cellular activity, we conducted an ex vivo x-ray radiation experiment on excised mouse lumbar vertebrae. Spinal tissue from twenty-week old, female, C57BL/6J mice were randomly assigned to a single x-ray radiation dose of either 0 (control), 50, 1,000, 17,000, or 35,000 Gy. Measurements were made for collagen fragmentation, non-enzymatic collagen crosslinking, and both monotonic and cyclic-loading compressive mechanical properties. We conclude that the reductions in bone compressive monotonic strength and fatigue life due to ex vivo ionizing radiation are more likely caused by fragmentation of the collagen backbone than any increases in non-enzymatic collagen crosslinks.","These results demonstrate that the monotonic strength of murine vertebral bodies was only diminished when exposed to ionizing radiation at or above 17,000 Gy. While the relative amount of non-enzymatic collagen crosslinks was greater for all radiation groups compared to the control, the increase in crosslinks measured at lower doses (50 and 1,000 Gy) did not coincide with the observed reduction in mechanical strength ( Figure 4 ). For the first time, we have demonstrated the effect of irradiation on whole-bones (with both cortical and trabecular tissue) across a spectrum of clinically-relevant doses (i.e. radiation therapy at 50 Gy to allograft sterilization at 35,000 Gy) with both monotonic and fatigue mechanical tests, as well as parallel collagen biochemical assays. Previously, numerous studies attributed the increase in non-enzymatic crosslink concentration as the primary mechanism for degraded bone strength, specifically in applications of natural aging [ 24 , 36 , 41 ], drug treatments [ 42 ], irradiation sterilization [ 13 ], and diseases such as osteoporosis [ 43 ] and diabetes [ 26 , 44 – 47 ]."
